sNum,months,days,sex,cond,condLabel,trial,GNG,trialType,stimName,habCrit,sumOnA,numOnA,sumOffA,numOffA,sumOnB,numOnB,sumOffB,numOffB
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,1,1,AttenGet,AttenGet.mov,0,8.307001400000445,15,3.6996951999990415,15,0,0,12.006698600000163,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,2,1,Hab,DenE,0,0.6168849000005139,3,0.3890553000001091,3,0,0,1.0059387000001152,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,3,1,Hab,DenF,0,0.9106071000005613,2,0.10023589999946125,1,0,0,1.0108431999997265,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,4,1,Hab,DenG,0,0.8937593999980891,2,0.11701200000061363,1,0,0,1.010769499998787,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,5,1,Hab,DenG,1.4585851807223882,1.0106921999995393,1,0,0,0,0,1.0106921999995393,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,6,1,Hab,DenA,1.695818493974813,0.8610865999999078,2,0.15023389999987558,1,0,0,1.0113207000013062,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,7,1,Hab,DenD,1.695818493974813,0.6595669999987877,1,0.35010569999940344,1,0,0,1.0096746999988682,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,8,1,Hab,DenA,1.695818493974813,0,0,1.0105579999999463,1,0,0,1.0105579999999463,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,9,1,Hab,DenE,1.695818493974813,0.5331096999998408,3,0.478648999998768,4,0,0,1.0117589000001317,1
3,221,17,1,"{'Hab': ['DenE', 'DenF', 'DenG', 'DenG', 'DenA', 'DenD', 'DenA', 'DenE', 'DenD', 'DenD', 'DenA', 'DenF', 'DenG', 'DenB', 'DenH', 'DenE', 'DenH', 'DenF', 'DenH', 'DenB', 'DenC', 'DenC', 'DenB', 'DenC'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov'], 'Same': ['DenB', 'DenF', 'DenE', 'DenC', 'DenD', 'DenH', 'DenA', 'DenG'], 'Switch': ['RetB', 'RetF', 'RetE', 'RetC', 'RetD', 'RetH', 'RetA', 'RetG']}",LEAP06,10,1,Hab,DenD,1.695818493974813,0.9669039000000339,1,0.04478189999827009,1,0,0,1.0116839999991498,1
