allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
ɳ ɳ,,,,,323,{},,,ɳ Kurukh (SPA 7),323,323
ɳ,,,,,395,{},,,ɳ Telugu (SPA 8),395,395
ɳ ɳʲ,,,,,441,{},,,ɳ Kota (SPA 9),441,441
ɳ ɽ̃,,,,,472,{},,,ɳ Mundari (SPA 10),472,472
ɳ,,,,,1684,{},,,ɳ Western Desert (SPA 44),1684,1684
ɳ ɳ̥,,,,,1708,{},,,ɳ Nyangumata (SPA 45),1708,1708
ɳ,,,,,1785,{},,,ɳ Maung (SPA 48),1785,1785
ɳ,,,,,1812,{},,,ɳ Nunggubuyu (SPA 49),1812,1812
ɳ ɳ,,,,,1838,{},,,ɳ Alawa (SPA 50),1838,1838
ɳ ɳ̩,,,,,6009,{},,,ɳ Norwegian (SPA 159),6009,6009
ɳ,,,,,6523,{},,,ɳ Pashto (SPA 173),6523,6523
ɳ,,,,,6641,{},,,ɳ Punjabi (SPA 175),6641,6641
ɳ̥ ɳ,,,,,7093,{},,,ɳ Ostyak (SPA 184),7093,7093
,,,,,7669,{},False,,ɳ ARRERNTE (UPSID 201),7669,7669
,,,,,8012,{},False,,ɳ ALAWA (UPSID 214),8012,8012
,,,,,8355,{},False,,ɳ WESTERN DESERT (UPSID 225),8355,8355
,,,,,9013,{},False,,ɳ BARDI (UPSID 245),9013,9013
,,,,,9672,{},False,,ɳ BURARRA (UPSID 266),9672,9672
,,,,,10876,{},False,,ɳ DIYARI (UPSID 305),10876,10876
,,,,,11131,{},False,,ɳ YOLNGU (UPSID 314),11131,11131
,,,,,11793,{},False,,ɳ GARAWA (UPSID 337),11793,11793
,,,,,12676,{},False,,ɳ IAI (UPSID 363),12676,12676
,,,,,13220,{},False,,ɳ YANYUWA (UPSID 379),13220,13220
,,,,,13722,{},False,,ɳ KHANTY (UPSID 396),13722,13722
,,,,,13834,{},False,,ɳ KOTA (UPSID 400),13834,13834
,,,,,13862,{},False,,ɳ KOYA (UPSID 401),13862,13862
,,,,,14828,{},False,,ɳ KALKATUNGU (UPSID 431),14828,14828
,,,,,16104,{},False,,ɳ MAUNG (UPSID 467),16104,16104
,,,,,16276,{},False,,ɳ MURINHPATHA (UPSID 474),16276,16276
,,,,,17057,{},True,,ɳ NORWEGIAN (UPSID 499),17057,17057
,,,,,17185,{},False,,ɳ NUNGGUBUYU (UPSID 503),17185,17185
,,,,,17755,{},False,,ɳ PASHTO (UPSID 521),17755,17755
,,,,,19207,{},False,,ɳ TULU (UPSID 566),19207,19207
,,,,,19285,{},False,,ɳ TELUGU (UPSID 568),19285,19285
,,,,,19524,{},False,,ɳ TIWI (UPSID 577),19524,19524
,,,,,20220,{},False,,ɳ NGARINJIN (UPSID 601),20220,20220
,,,,,20252,{},False,,ɳ MUNDARI (UPSID 602),20252,20252
ɳ,,,,,30563,{},False,,ɳ Garadjari (PH 879),30563,30563
ɳ,,,,,30659,{},False,,ɳ Gunwinggu (PH 883),30659,30659
ɳ,,,,,31500,{},True,,ɳ Kharia (PH 909),31500,31500
ɳ,,,,,31925,{},False,,ɳ Kuvi (PH 920),31925,31925
ɳ,,,,,32583,{},False,,ɳ Mara (PH 937),32583,32583
ɳ,,,,,33103,{},False,,ɳ Yuma (PH 952),33103,33103
ɳ,,,,,33369,{},False,,ɳ Ngalakan (PH 960),33369,33369
ɳ,,,,,34345,{},False,,ɳ Marwari (PH 991),34345,34345
ɳ,,,,,35028,{},False,,ɳ Saraiki (PH 1011),35028,35028
ɳ,,,,,35869,{},False,,ɳ Palula (Phalura) (PH 1036),35869,35869
ɳ,,,,,36620,{},False,,ɳ Tamil (PH 1058),36620,36620
ɳ ɽ̃,,,,,37662,{},False,,ɳ Juang (PH 1089),37662,37662
ɳ ɳ̩,,,,,38090,{},False,,ɳ Remo (PH 1101),38090,38090
ɳ ɽ̃,,,,,38491,{},False,,ɳ Gojri; Gujari; Gujar (PH 1112),38491,38491
ɳ,,,,,39747,{},False,,ɳ Sindhi (PH 1148),39747,39747
ɳ,,,,,40234,{},False,,ɳ Alyawarra (PH 1163),40234,40234
ɳ,,,,,41091,{},False,,ɳ Betta Kurumba (PH 1190),41091,41091
ɳ,,,,,41142,{},False,,ɳ Bilinara (PH 1192),41142,41142
ɳ,,,,,42361,{},False,,ɳ Kinnauri; Kanauri (PH 1226),42361,42361
ɳ,,,,,42410,{},False,,ɳ Mewati (PH 1227),42410,42410
ɳ,,,,,42698,{},False,,ɳ Arrarnte (PH 1235),42698,42698
ɳ,,,,,48403,{},False,,ɳ Syan (GM 1370),48403,48403
ɳ,,,,,53911,{},False,,"ɳ Saxwe, Gbe (GM 1492)",53911,53911
ɳ,,,,,57730,{},False,,ɳ Mandara (GM 1585),57730,57730
,,,,,62164,{},,,ɳ Abujmaria (RA 1701),62164,62164
,,,,,62196,{},,,ɳ Andamanese (RA 1702),62196,62196
,,,,,62403,{},,,ɳ Awadhi (RA 1707),62403,62403
,,,,,62442,{},,,ɳ Badaga (RA 1708),62442,62442
,,,,,62531,{},,,ɳ Banjara (RA 1710),62531,62531
,,,,,62685,{},,,ɳ Bhumij (RA 1713),62685,62685
,,,,,62772,{},,,ɳ Brokskat (RA 1715),62772,62772
,,,,,62831,{},,,ɳ Bundeli (RA 1716),62831,62831
,,,,,62958,{},,,ɳ Darmiya (RA 1719),62958,62958
,,,,,62997,{},,,ɳ Didayi (RA 1720),62997,62997
,,,,,63045,{},,,ɳ Gade-Lohar (RA 1721),63045,63045
,,,,,63148,{},,,ɳ Gojri (RA 1724),63148,63148
,,,,,63205,{},,,ɳ Gujarati (RA 1725),63205,63205
,,,,,63250,{},,,ɳ Gutob (RA 1726),63250,63250
,,,,,63348,{},,,ɳ Hindi (RA 1728),63348,63348
,,,,,63395,{},,,ɳ Ho (RA 1729),63395,63395
,,,,,63442,{},,,ɳ Irula (RA 1730),63442,63442
,,,,,63497,{},,,ɳ Jaunsari (RA 1731),63497,63497
,,,,,63537,{},,,ɳ Juang (RA 1732),63537,63537
,,,,,63575,{},,,ɳ Kangri (RA 1733),63575,63575
,,,,,63623,{},,,ɳ Kannada (RA 1734),63623,63623
,,,,,63667,{},,,ɳ Kanigke:rgotti (RA 1735),63667,63667
,,,,,63742,{},,,ɳ Kasaba (RA 1737),63742,63742
,,,,,64014,{},,,ɳ Kod̩agu (RA 1743),64014,64014
,,,,,64088,{},,,ɳ Kon̩d̩a or Kubi (RA 1745),64088,64088
,,,,,64127,{},,,ɳ Kon̩ekar Gadaba (RA 1746),64127,64127
,,,,,64169,{},,,ɳ Konkani (RA 1747),64169,64169
,,,,,64208,{},,,ɳ Koraga (RA 1748),64208,64208
,,,,,64280,{},,,ɳ Kota (RA 1750),64280,64280
,,,,,64317,{},,,ɳ Koya (RA 1751),64317,64317
,,,,,64352,{},,,ɳ Kui (RA 1752),64352,64352
,,,,,64394,{},,,ɳ Kumauni (RA 1753),64394,64394
,,,,,64492,{},,,ɳ Kuvi (RA 1755),64492,64492
,,,,,64587,{},,,ɳ Lamani (RA 1757),64587,64587
,,,,,64756,{},,,ɳ Maithili (RA 1761),64756,64756
,,,,,64800,{},,,ɳ Malayalam (RA 1762),64800,64800
,,,,,64953,{},,,ɳ Marathi (RA 1766),64953,64953
,,,,,65135,{},,,ɳ Mundari (RA 1770),65135,65135
,,,,,65174,{},,,ɳ Naiki (RA 1771),65174,65174
,,,,,65299,{},,,ɳ Ollari (RA 1774),65299,65299
,,,,,65340,{},,,ɳ Oriya (RA 1775),65340,65340
,,,,,65442,{},,,ɳ Pat̩t̩an̩i (RA 1778),65442,65442
,,,,,65480,{},,,ɳ Pengo (RA 1779),65480,65480
,,,,,65528,{},,,ɳ Punjabi (RA 1780),65528,65528
,,,,,65616,{},,,ɳ Sanskrit (RA 1782),65616,65616
,,,,,65754,{},,,ɳ Shina (RA 1785),65754,65754
,,,,,65814,{},,,ɳ Sindhi (RA 1786),65814,65814
,,,,,65853,{},,,ɳ Soːra (RA 1787),65853,65853
,,,,,65894,{},,,ɳ Tamil (RA 1788),65894,65894
,,,,,66012,{},,,ɳ Telugu (RA 1791),66012,66012
,,,,,66088,{},,,ɳ Toda (RA 1793),66088,66088
,,,,,66173,{},,,ɳ Tulu (RA 1795),66173,66173
,,,,,66215,{},,,ɳ Urali (RA 1796),66215,66215
,,,,,66310,{},,,ɳ Vaagri Boli (RA 1798),66310,66310
,,,,,66349,{},,,ɳ Yerava (RA 1799),66349,66349
,,,,,66387,{},,,ɳ Yerukala (RA 1800),66387,66387
ɳ ʲɳ ɳʷ,,,,,75574,{},False,,"ɳ Arrernte, Central (UZ 2158)",75574,75574
ɳ,,,,,78565,{},False,,ɳ Southeastern Pashayi (UZ 2227),78565,78565
,,,,,80834,{},False,,ɳ Kannada (Standard) (EA 2277),80834,80834
,,,,,81432,{},False,,ɳ Kuvi (EA 2293),81432,81432
,,,,,81493,{},False,,ɳ Mundari (EA 2295),81493,81493
,,,,,81925,{},False,,ɳ Remo (Hills variety) (EA 2305),81925,81925
,,,,,82944,{},False,,ɳ Brag-g.yab Tibetan (EA 2328),82944,82944
,,,,,84115,{},False,,ɳ Betta Kurumba (EA 2354),84115,84115
,,,,,85341,{},False,,ɳ Telugu (Standard) (EA 2387),85341,85341
,,,,,87278,{},False,,ɳ Eastern Khanty (Vakh) (EA 2434),87278,87278
,,,,,87403,{},False,,ɳ Sindhi (Vicholi) (EA 2437),87403,87403
,,,,,87579,{},False,,ɳ Norwegian (Standard Østnorsk) (EA 2441),87579,87579
,,,,,88013,{},False,,ɳ Gujarati (Standard) (EA 2452),88013,88013
,,,,,89247,{},False,,ɳ Panjabi (Eastern) (EA 2479),89246,89246
