allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
ɭ,,,,,389,{},,,ɭ Telugu (SPA 8),389,389
ɭʲ ɭ,,,,,438,{},,,ɭ Kota (SPA 9),438,438
ɭ,,,,,469,{},,,ɭ Mundari (SPA 10),469,469
ɭ̩ ɭ,,,,,546,{},,,ɭ Khasi (SPA 12),546,546
ɭ,,,,,1680,{},,,ɭ Western Desert (SPA 44),1680,1680
ɭ ɭ̥,,,,,1704,{},,,ɭ Nyangumata (SPA 45),1704,1704
ɭ,,,,,1781,{},,,ɭ Maung (SPA 48),1781,1781
ɭ,,,,,1807,{},,,ɭ Nunggubuyu (SPA 49),1807,1807
ɭ ɭ,,,,,1830,{},,,ɭ Alawa (SPA 50),1830,1830
ɭ,,,,,3060,{},,,ɭ Tarascan (SPA 87),3060,3060
ɭ,,,,,5617,{},,,ɭ Kanuri (SPA 150),5617,5617
ɭ,,,,,6004,{},,,ɭ Norwegian (SPA 159),6004,6004
ɭ,,,,,6635,{},,,ɭ Punjabi (SPA 175),6635,6635
ɭ̥ ɭ,,,,,7088,{},,,ɭ Ostyak (SPA 184),7088,7088
,,,,,7664,{},False,,ɭ ARRERNTE (UPSID 201),7664,7664
,,,,,8005,{},False,,ɭ ALAWA (UPSID 214),8005,8005
,,,,,8351,{},False,,ɭ WESTERN DESERT (UPSID 225),8351,8351
,,,,,9009,{},False,,ɭ BARDI (UPSID 245),9009,9009
,,,,,9668,{},False,,ɭ BURARRA (UPSID 266),9668,9668
,,,,,10870,{},False,,ɭ DIYARI (UPSID 305),10870,10870
,,,,,11048,{},False,,ɭ RUKAI (UPSID 311),11048,11048
,,,,,11126,{},False,,ɭ YOLNGU (UPSID 314),11126,11126
,,,,,11788,{},False,,ɭ GARAWA (UPSID 337),11788,11788
,,,,,12669,{},False,,ɭ IAI (UPSID 363),12669,12669
,,,,,13211,{},False,,ɭ YANYUWA (UPSID 379),13211,13211
,,,,,13717,{},False,,ɭ KHANTY (UPSID 396),13717,13717
,,,,,13831,{},False,,ɭ KOTA (UPSID 400),13831,13831
,,,,,13910,{},False,,ɭ KHASI (UPSID 403),13910,13910
,,,,,14511,{},False,,ɭ KANURI (UPSID 421),14511,14511
,,,,,14549,{},False,,ɭ KONKANI (UPSID 422),14549,14549
,,,,,14822,{},False,,ɭ KALKATUNGU (UPSID 431),14822,14822
,,,,,16100,{},False,,ɭ MAUNG (UPSID 467),16100,16100
,,,,,16272,{},False,,ɭ MURINHPATHA (UPSID 474),16272,16272
,,,,,17054,{},True,,ɭ NORWEGIAN (UPSID 499),17054,17054
,,,,,17180,{},False,,ɭ NUNGGUBUYU (UPSID 503),17180,17180
,,,,,19203,{},False,,ɭ TULU (UPSID 566),19203,19203
,,,,,19282,{},False,,ɭ TELUGU (UPSID 568),19282,19282
,,,,,19517,{},False,,ɭ TIWI (UPSID 577),19517,19517
,,,,,19983,{},False,,ɭ TARASCAN (UPSID 594),19983,19983
,,,,,20215,{},False,,ɭ NGARINJIN (UPSID 601),20215,20215
,,,,,20249,{},False,,ɭ MUNDARI (UPSID 602),20249,20249
ɭ,,,,,26717,{},False,,ɭ mangbetu (AA 778),26717,26717
ɭ,,,,,30559,{},False,,ɭ Garadjari (PH 879),30559,30559
ɭ,,,,,30654,{},False,,ɭ Gunwinggu (PH 883),30654,30654
ɭ,,,,,32578,{},False,,ɭ Mara (PH 937),32578,32578
ɭ,,,,,33365,{},False,,ɭ Ngalakan (PH 960),33365,33365
ɭ,,,,,34339,{},False,,ɭ Marwari (PH 991),34339,34339
ɭ,,,,,35420,{},False,,ɭ Zapotec (PH 1022),35420,35420
ɭ,,,,,36616,{},False,,ɭ Tamil (PH 1058),36616,36616
ɭ,,,,,37658,{},False,,ɭ Juang (PH 1089),37658,37658
ɭ,,,,,38488,{},False,,ɭ Gojri; Gujari; Gujar (PH 1112),38488,38488
ɭ,,,,,40228,{},False,,ɭ Alyawarra (PH 1163),40228,40228
ɭ,,,,,41088,{},False,,ɭ Betta Kurumba (PH 1190),41088,41088
ɭ,,,,,41137,{},False,,ɭ Bilinara (PH 1192),41137,41137
ɭ,,,,,42359,{},False,,ɭ Kinnauri; Kanauri (PH 1226),42359,42359
ɭ,,,,,42693,{},False,,ɭ Arrarnte (PH 1235),42693,42693
